"question_id","competency","difficulty","question_type","question_text","detailed_answer","eval_point_1","eval_point_2","eval_point_3","sonnet_decision","human_label","human_note"
"GEN_DA_ANALYTICS_061","ANALYTICS_BUSINESS","EASY","THEORY","Trong mô hình phân tích RFM (Recency, Frequency, Monetary), hãy định nghĩa ý nghĩa của từng chỉ số này và giải thích tại sao mô hình này lại quan trọng đối với việc phân khúc khách hàng trong doanh nghiệp.","RFM đại diện cho 3 chỉ số:
1. Recency (R - Lần mua hàng gần nhất): Đo lường số ngày kể từ lần giao dịch cuối cùng của khách hàng. Khách hàng mua gần đây có khả năng phản hồi cao hơn với các chiến dịch tiếp thị.
2. Frequency (F - Tần suất mua hàng): Tổng số lần mua hàng của khách hàng trong một khoảng thời gian xác định. Chỉ số này thể hiện mức độ gắn bó và lòng trung thành.
3. Monetary (M - Giá trị tiền tệ): Tổng số tiền khách hàng đã chi tiêu trong khoảng thời gian đó. Nó giúp xác định nhóm khách hàng mang lại doanh thu cao nhất.

Ý nghĩa: RFM quan trọng vì nó cho phép doanh nghiệp phân khúc khách hàng một cách định lượng dựa trên hành vi thực tế thay vì cảm tính. Từ đó, doanh nghiệp có thể tối ưu hóa ngân sách marketing (ví dụ: tập trung tri ân nhóm VIP, kích hoạt lại nhóm sắp rời bỏ) và cá nhân hóa trải nghiệm khách hàng.","Định nghĩa chính xác đầy đủ cả 3 chỉ số R, F, M.","Giải thích được lý do hành vi mua sắm thực tế (transactional behavior) có giá trị hơn phân khúc cảm tính.","Nêu được ứng dụng thực tế của phân khúc RFM trong việc tối ưu hóa chiến dịch Marketing hoặc cá nhân hóa.","NOT_REVIEWED","PASS",""
"GEN_DA_ANALYTICS_011","ANALYTICS_BUSINESS","EASY","THEORY","Phân tích Cohort (Cohort Analysis) là gì? Hãy nêu sự khác biệt chính giữa hai loại Acquisition Cohorts và Behavioral Cohorts trong việc đo lường độ giữ chân (retention) của khách hàng.","Phân tích Cohort là phương pháp chia người dùng thành các nhóm có chung đặc điểm hoặc trải nghiệm trong một khoảng thời gian nhất định để theo dõi hành vi của họ theo thời gian.
- Acquisition Cohorts: Chia nhóm người dùng dựa trên thời điểm họ bắt đầu sử dụng sản phẩm (ví dụ: ngày/tuần/tháng đăng ký). Giúp đo lường xu hướng rời bỏ và vòng đời của khách hàng từ lúc bắt đầu.
- Behavioral Cohorts: Chia nhóm người dùng dựa trên hành vi cụ thể mà họ thực hiện trong một khoảng thời gian (ví dụ: nhóm người dùng cài đặt ứng dụng và thực hiện giao dịch đầu tiên trong vòng 3 ngày). Giúp xác định xem hành động cụ thể nào tương quan tích cực đến việc duy trì sử dụng sản phẩm.","Định nghĩa đúng khái niệm Cohort Analysis và mục đích chính là đo lường Retention.","Phân biệt được Acquisition Cohort dựa trên mốc thời gian đăng ký/gia nhập.","Phân biệt được Behavioral Cohort dựa trên hành vi hoặc sự kiện cụ thể được thực hiện.","NOT_REVIEWED","PASS",""
"GEN_DA_ANALYTICS_007","ANALYTICS_BUSINESS","MEDIUM","THEORY","Bạn đang làm Data Analyst cho một chuỗi cửa hàng F&B. Khi phân tích RFM, bạn phát hiện một nhóm khách hàng có điểm Recency rất thấp (đã lâu không quay lại) nhưng Frequency và Monetary trước đó rất cao (từng là VIP). Bạn đề xuất chiến dịch gì cho nhóm này, và làm thế nào để đo lường hiệu quả (ROI) của chiến dịch đó một cách chính xác?","Đây là nhóm khách hàng thuộc phân khúc 'Can't Lose Them' (Khách hàng VIP cũ có nguy cơ rời bỏ hoàn toàn). Họ từng chi nhiều tiền và mua thường xuyên nhưng hiện tại đang có dấu hiệu chuyển sang đối thủ cạnh tranh.
1. Đề xuất chiến dịch kích hoạt lại (Re-engagement Campaign):
- Không dùng khuyến mãi đại trà. Nên gửi khảo sát cá nhân hóa kèm quà tặng tri ân giá trị cao (ví dụ: 'Chúng tôi nhớ bạn - Tặng bạn món nước yêu thích nhất của bạn trước đây kèm ưu đãi 30% cho lần ghé tiếp theo').
- Liên hệ qua kênh trực tiếp mà họ thường dùng (SMS, Zalo ZNS hoặc Email cá nhân hóa).
2. Phương pháp đo lường hiệu quả (ROI) chính xác:
- Áp dụng phương pháp Kiểm thử nhóm đối chứng (Control Group vs Treatment Group): Chia ngẫu nhiên nhóm khách hàng này thành 2 nhóm nhỏ theo tỷ lệ 90/10. Nhóm Treatment (90%) nhận được chiến dịch ưu đãi, nhóm Control (10%) không nhận được bất kỳ thông báo nào.
- Theo dõi chỉ số Conversion Rate (tỷ lệ quay lại mua hàng) và Incremental Revenue (Doanh thu tăng thêm) = Doanh thu từ nhóm Treatment - Doanh thu từ nhóm Control (được scale tương ứng tỷ lệ).
- Tính toán ROI = (Incremental Revenue - Chi phí chạy chiến dịch) / Chi phí chạy chiến dịch.","Nhận diện đúng bản chất phân khúc khách hàng (Can't Lose Them/VIP Churn) và đề xuất thông điệp tiếp thị mang tính cá nhân hóa cao dựa trên lịch sử mua sắm.","Trình bày rõ ràng phương pháp thiết lập nhóm đối chứng (Control Group) để loại bỏ yếu tố nhiễu (khách hàng tự quay lại mà không cần quảng cáo).","Đưa ra công thức hoặc cách tính toán ROI chuẩn xác dựa trên doanh thu tăng thêm thực tế (Incremental Revenue) thay vì doanh thu tổng.","NOT_REVIEWED","PASS",""
"GEN_DA_ANALYTICS_043","ANALYTICS_BUSINESS","MEDIUM","THEORY","Bạn đang làm việc tại một ứng dụng đặt đồ ăn trực tuyến. Tỷ lệ chuyển đổi từ bước 'Tìm kiếm món ăn' sang 'Thêm vào giỏ hàng' giảm 15% sau khi cập nhật phiên bản giao diện mới. Hãy trình bày quy trình các bước phân tích dữ liệu để xác định nguyên nhân chính xác của sự sụt giảm này.","Quy trình phân tích để xác định nguyên nhân sụt giảm tỷ lệ chuyển đổi bao gồm:
1. Phân khúc phễu (Funnel Segmentation): Chia nhỏ phễu theo các chiều thông tin như Thiết bị (iOS, Android, Web), Phiên bản App (mới vs cũ), Khu vực địa lý, và Loại khách hàng (mới vs cũ). Điều này giúp cô lập xem vấn đề xảy ra diện rộng hay chỉ ở một nhóm cụ thể (ví dụ: lỗi UI trên một độ phân giải màn hình Android nhất định).
2. Phân tích Micro-funnel & Clickstream: Xem xét các hành động trung gian giữa 'Tìm kiếm' và 'Thêm vào giỏ'. Người dùng có click vào xem chi tiết món ăn không? Họ có tương tác với bộ lọc (filter) không? Hay họ gặp lỗi 'Không tìm thấy kết quả'?
3. Phân tích thời gian (Time-to-convert): Đo lường xem thời gian từ lúc tìm kiếm đến lúc thêm vào giỏ có lâu hơn không. Nếu lâu hơn, có thể do giao diện mới khó điều hướng hoặc tốc độ tải trang tìm kiếm bị chậm (performance issue).","Áp dụng phương pháp phân khúc phễu (segmentation) theo thiết bị/hệ điều hành để cô lập lỗi kỹ thuật.","Phân tích hành trình phụ (micro-behavior) và các sự kiện click cụ thể để tìm điểm nghẽn UX.","Đề xuất kiểm tra chỉ số hiệu năng kỹ thuật (page load speed, API latency) ảnh hưởng đến phễu.","NOT_REVIEWED","PASS",""
"GEN_DA_ANALYTICS_029","ANALYTICS_BUSINESS","HARD","THEORY","Bạn đang làm việc tại một nền tảng ví điện tử có hàng chục triệu giao dịch mỗi ngày. Khi triển khai mô hình phân khúc RFM truyền thống bằng cách chia đều phân vị (Quintile - chia thành 5 nhóm có số lượng bằng nhau cho mỗi chỉ số R, F, M từ score 1-5), bạn gặp vấn đề nghiêm trọng: Chỉ số Frequency (F) bị lệch cực kỳ nặng (skewed data) do hơn 80% người dùng chỉ giao dịch 1-2 lần/tháng, dẫn đến việc phân nhóm F-score bằng Quintile bị mất tính trực giao và không phản ánh đúng hành vi khách hàng. Bạn hãy đề xuất một giải pháp nâng cao (Advanced RFM) kết hợp phương pháp thống kê hoặc Machine Learning để giải quyết triệt để vấn đề phân vị này và giải thích cách triển khai.","Trong thực tế thương mại điện tử và fintech, phân phối của Frequency và Monetary thường tuân theo luật lũy thừa (Power Law/Pareto), tạo ra hiện tượng lệch phải nặng (heavy right-skewed). Chia Quintile mù quáng sẽ gộp những người giao dịch 1 lần và 2 lần vào cùng các nhóm điểm rất thấp hoặc rất cao một cách khiên cưỡng.

Giải pháp Advanced RFM đề xuất:

1. Áp dụng Thuật toán Phân cụm không giám sát (K-Means Clustering) kết hợp biến đổi Logarithmic:
- Bước 1: Log-transform dữ liệu đầu vào. Vì K-means nhạy cảm với dữ liệu lệch và outlier, ta áp dụng công thức `log(x + 1)` cho các biến F và M để đưa phân phối về dạng gần chuẩn (Normal distribution).
- Bước 2: Chuẩn hóa dữ liệu (Feature Scaling) bằng `StandardScaler` để đưa R, F, M về cùng một thang đo (mean=0, std=1), tránh việc chỉ số M (đơn vị tiền tệ lớn) lấn át chỉ số R và F.
- Bước 3: Xác định số cụm tối ưu bằng phương pháp Elbow (Đường cong cùi chỏ) hoặc Silhouette Score. Thường kết quả sẽ ra 4-6 cụm tối ưu về mặt thống kê.
- Ưu điểm: Khắc phục hoàn toàn việc chia ranh giới cứng nhắc của Quintile, tự động gom nhóm những người dùng có hành vi tương đồng tự nhiên.

2. Giải pháp thay thế bằng Phân ngưỡng dựa trên Logic nghiệp vụ kết hợp Phân vị tùy chỉnh (Custom Binning):
- Nếu doanh nghiệp yêu cầu mô hình dễ giải thích (explainable), ta không chia đều 20% (Quintile) mà thiết kế các ngưỡng cứng dựa trên phân phối thực tế của F:
  + F = 1 lần: Score 1 (Người dùng thử - One-time users)
  + F = 2 lần: Score 2 (Người dùng bắt đầu quen thuộc)
  + F = 3-5 lần: Score 3 (Người dùng tích cực)
  + F = 6-15 lần: Score 4 (Người dùng trung thành)
  + F > 15 lần: Score 5 (Siêu người dùng - Super users)
- Cách này đảm bảo tính ổn định của mô hình qua các tháng (không bị thay đổi ranh giới điểm F do biến động thị trường ngắn hạn).

3. Triển khai vào hệ thống ra quyết định (Automation):
- Viết pipeline dữ liệu (Airflow + Spark/SQL) chạy định kỳ hàng tuần để cập nhật RFM cluster cho từng user_id.
- Đẩy kết quả phân cụm trực tiếp vào hệ thống Customer Data Platform (CDP) hoặc CRM để kích hoạt các chiến dịch push notification/voucher tự động tương ứng với từng phân cụm (ví dụ: tự động tặng voucher phí giao dịch cho nhóm cụm có nguy cơ rời bỏ - Churn Risk).","Chỉ ra được lỗ hổng cốt lõi của phương pháp chia Quintile truyền thống khi đối mặt với dữ liệu phân phối lệch nặng (skewed data).","Trình bày chi tiết giải pháp nâng cao sử dụng K-Means Clustering bao gồm các bước xử lý tiền dữ liệu cực kỳ quan trọng (Log-transform, Feature Scaling).","Đề xuất được phương án Custom Binning dựa trên Business Logic và giải thích được cách tích hợp mô hình vào hệ thống vận hành tự động thực tế (CDP/CRM).","NOT_REVIEWED","PASS",""
"GEN_DA_ANALYTICS_094","ANALYTICS_BUSINESS","HARD","THEORY","Công ty sở hữu cơ sở dữ liệu giao dịch khổng lồ của 5 năm qua. Khi bạn thực hiện phân tích RFM truyền thống, bộ phận Marketing phản hồi rằng các phân khúc khách hàng bị dịch chuyển quá nhanh (ví dụ: một khách hàng VIP tháng trước đột ngột bị xếp vào nhóm Hibernating/Có nguy cơ rời bỏ ở tháng này do đặc thù ngành hàng thời trang có tính mùa vụ cao). Bạn giải quyết bài toán 'dynamic RFM' và 'seasonality' này như thế nào? Hãy đề xuất cách thiết kế mô hình RFM cải tiến.","Hạn chế lớn nhất của RFM truyền thống là tính tĩnh (static) và giả định hành vi mua sắm của khách hàng là tuyến tính, đồng đều quanh năm. Để giải quyết vấn đề dịch chuyển phân khúc do tính mùa vụ (seasonality) và vòng đời sản phẩm, chúng ta cần cải tiến mô hình RFM sang dạng Dynamic RFM với các giải pháp kỹ thuật sau:

1. Điều chỉnh Recency theo Chu kỳ mua hàng trung bình (Relative Recency):
- Thay vì cố định khung thời gian tính Recency là 30, 90 hay 180 ngày cho tất cả khách hàng, ta tính toán Khoảng thời gian mua hàng trung bình (Average Inter-purchase Time - AIPT) cho từng phân khúc sản phẩm hoặc từng cá nhân.
- Điểm R sẽ được chuẩn hóa dựa trên tỷ lệ: R_score = Lần_mua_cuối_cùng / AIPT. Nếu khách hàng thường mua áo phao 1 lần/năm (AIPT = 360 ngày) và mua hàng cách đây 90 ngày, họ vẫn được đánh giá là Active (R_score tốt), chứ không bị xếp vào nhóm Hibernating như cách tính cố định 30 ngày.

2. Xử lý tính Mùa vụ (Seasonality-adjusted Weights):
- Gán trọng số động cho điểm F và M dựa trên chỉ số mùa vụ (Seasonal Index) của danh mục sản phẩm. Ví dụ, chi tiêu vào mùa đông cho quần áo dày nên được so sánh với phân phối chi tiêu của mùa đông năm trước thay vì so sánh trực tiếp với mùa hè.
- Sử dụng kỹ thuật Rolling RFM windows: Tính toán điểm RFM dựa trên các chu kỳ cuộn (rolling windows) tương thích với mùa vụ (ví dụ: 12 tháng rolling để triệt tiêu yếu tố mùa vụ bán lẻ).

3. Áp dụng cơ chế suy hao thời gian (Time Decay Factor) và Chuyển trạng thái (State Transition):
- Sử dụng hàm mũ suy hao (Exponential Decay) để tính điểm F và M. Những giao dịch gần nhất có trọng số lớn hơn giao dịch trong quá khứ: F_decayed = Sum(e^(-lambda * t_i)), với t_i là khoảng thời gian từ giao dịch i đến hiện tại. Điều này ngăn việc khách hàng từng mua rất nhiều trong quá khứ nhưng nay đã ngừng mua vẫn giữ điểm F và M cao ngất ngưởng.
- Thiết lập ma trận chuyển trạng thái Markov (Markov State Transition Matrix) để dự đoán xác suất một khách hàng dịch chuyển từ phân khúc VIP sang Hibernating, từ đó đưa ra cảnh báo sớm (Early Warning) trước khi họ thực sự rời bỏ.","Nhận diện đúng bản chất vấn đề của RFM tĩnh là bỏ qua chu kỳ mua sắm tự nhiên (AIPT) của từng sản phẩm/khách hàng và biến động mùa vụ.","Đề xuất được giải pháp kỹ thuật cụ thể để động hóa điểm số (như chuẩn hóa Recency theo AIPT hoặc áp dụng Time Decay Factor để giảm trọng số giao dịch cũ).","Đưa ra phương pháp tích hợp mô hình dự báo chuyển trạng thái (Markov) hoặc Rolling Windows để giải quyết triệt để tính dịch chuyển nhanh của các nhóm phân khúc.","NOT_REVIEWED","PASS",""
"GEN_DS_MLOPS_TS_094","MLOPS","EASY","THEORY","Bạn đang làm việc tại một chuỗi cửa hàng tiện lợi. Cửa hàng cần triển khai một mô hình dự báo nhu cầu hàng tồn kho theo tuần (Weekly Inventory Forecasting) để chuẩn bị hàng hóa cho tuần kế tiếp. Bạn sẽ đề xuất sử dụng phương thức Deploy nào: Batch Inference (chạy định kỳ mỗi tối Chủ Nhật) hay Real-time Inference qua API? Tại sao?","Trong tình huống này, phương án tối ưu và đơn giản nhất là Batch Inference (chạy định kỳ vào tối Chủ Nhật). Lý do là:
1. Tần suất quyết định kinh doanh thấp: Việc nhập hàng và quản lý kho chỉ diễn ra theo chu kỳ tuần, không đòi hỏi phản hồi tức thời theo từng giây.
2. Tiết kiệm tài nguyên và chi phí: Batch Inference cho phép chạy mô hình trên lượng lớn dữ liệu cùng lúc, không cần duy trì server API hoạt động liên tục 24/7, giúp giảm thiểu chi phí hạ tầng.
3. Quản lý dữ liệu dễ dàng hơn: Toàn bộ dữ liệu của tuần cũ đã được chốt và đồng bộ hoàn toàn vào kho dữ liệu trước khi mô hình chạy dự báo.","Lựa chọn đúng phương án Batch Inference phù hợp với bài toán dự báo tồn kho tuần.","Giải thích lý do dựa trên tần suất cập nhật quyết định kinh doanh (weekly business cycle).","Nêu được ưu điểm về chi phí hạ tầng và độ phức tạp vận hành thấp hơn so với Real-time API.","NOT_REVIEWED","PASS",""
"GEN_DS_MLOPS_TS_148","MLOPS","EASY","THEORY","Trong bối cảnh giám sát (monitoring) mô hình Time Series Forecasting sau khi deploy lên hệ thống production, bạn hãy phân biệt sự khác biệt giữa 'Data Drift' (Covariate Shift) và 'Concept Drift'. Cho ví dụ minh họa ngắn gọn cho mỗi loại đối với chuỗi thời gian.","Trong giám sát mô hình Time Series:
1. Data Drift (Covariate Shift): Xảy ra khi phân phối của dữ liệu đầu vào (input features / predictors) thay đổi theo thời gian, nhưng mối quan hệ toán học giữa input và output vẫn giữ nguyên. Ví dụ: Một mô hình dự báo phụ tải điện nhận đầu vào là nhiệt độ thời tiết. Khi mùa hè đến cực đoan hơn bình thường, phân phối nhiệt độ đầu vào dịch chuyển sang mức cao hơn hẳn (drift), nhưng hành vi sử dụng điện tương ứng với từng mức nhiệt độ của người dân không đổi.
2. Concept Drift: Xảy ra khi mối quan hệ thống kê giữa dữ liệu đầu vào và biến mục tiêu (target) thay đổi, ngay cả khi phân phối của đầu vào có thể giữ nguyên. Ví dụ: Trong đại dịch COVID-19, thói quen mua sắm trực tuyến thay đổi hoàn toàn. Dù các đặc trưng đầu vào (như ngày trong tuần, chương trình khuyến mãi) không đổi, nhưng lượng đơn hàng (target) thực tế tăng vọt ngoài quy luật lịch sử, khiến mô hình dự báo không còn chính xác.
* Lưu ý quan trọng: Với Time Series, cần phân biệt drift thực sự với các yếu tố mang tính mùa vụ (seasonality) hoặc xu hướng (trend) vốn là thuộc tính tự nhiên của dữ liệu chuỗi thời gian.","Phân biệt rõ ràng bản chất toán học/khái niệm giữa Data Drift (thay đổi phân phối P(X)) và Concept Drift (thay đổi mối quan hệ P(Y|X)).","Đưa ra ví dụ thực tế chính xác và dễ hiểu cho cả hai loại drift trong bối cảnh chuỗi thời gian.","Nêu được lưu ý về việc phân biệt drift thực tế với các tính chất tự nhiên của Time Series như Seasonality (tính mùa vụ) và Trend (xu hướng).","NOT_REVIEWED","PASS",""
"GEN_DS_MLOPS_TS_106","MLOPS","MEDIUM","THEORY","Khi xây dựng một pipeline CI/CD tự động huấn luyện và deploy lại mô hình Time Series, tại sao chúng ta không thể sử dụng phương pháp K-Fold Cross Validation thông thường? Bạn thiết kế chiến lược kiểm thử (Validation Strategy) nào để đánh giá mô hình trước khi deploy tự động lên production nhằm tránh rò rỉ dữ liệu (data leakage)?","1. Vấn đề của K-Fold thông thường: K-Fold chia dữ liệu ngẫu nhiên không màng đến thứ tự thời gian. Điều này dẫn đến hiện tượng rò rỉ dữ liệu (data leakage) khi dùng thông tin từ tương lai để dự báo quá khứ, làm mô hình có vẻ tốt khi test nhưng hoạt động rất kém trên production thực tế.
2. Chiến lược thiết kế Time Series Validation:
   - Sử dụng Time Series Split (Rolling/Expanding Window Validation): Huấn luyện trên dữ liệu từ thời điểm t_0 đến t_n, và kiểm thử trên khoảng thời gian từ t_(n+1) đến t_(n+k). Di chuyển cửa sổ này tiến dần về phía trước.
   - Giữ lại tập Hold-out test set mới nhất: Luôn luôn lưu lại một khoảng dữ liệu thực tế gần nhất (ví dụ: 1 tuần hoặc 1 tháng cuối cùng) hoàn toàn độc lập để đánh giá mô hình ở bước cuối cùng trước khi deploy.
3. Tiêu chí Champion-Challenger trong CI/CD: Thiết lập kiểm thử tự động so sánh hiệu năng của mô hình mới (Challenger) với mô hình đang chạy trên production (Champion) trên cùng một tập test chuỗi thời gian mới nhất. Chỉ deploy mô hình mới nếu nó cải thiện vượt bậc một ngưỡng phần trăm nhất định (ví dụ: giảm RMSE > 2%) và không bị suy giảm hiệu năng trên các nhóm dữ liệu quan trọng.","Giải thích rõ ràng lý do K-Fold CV thông thường gây rò rỉ dữ liệu (data leakage) do vi phạm tính tuần tự thời gian.","Trình bày chi tiết cách hoạt động của phương pháp Time Series Split (Rolling hoặc Expanding Window Validation).","Đề xuất cơ chế so sánh tự động (Champion vs Challenger) trên tập hold-out thời gian thực trước khi ra quyết định deploy.","NOT_REVIEWED","PASS",""
"GEN_DS_MLOPS_TS_155","MLOPS","MEDIUM","THEORY","Công ty Fintech nơi bạn làm việc triển khai một mô hình dự báo dòng tiền rút (cash outflow) hàng ngày cho hệ thống ATM nhằm tối ưu lượng tiền mặt lưu trữ. Do độ trễ của việc đối soát thực tế, nhãn thực tế (ground truth) chỉ có sau 30 ngày. Làm thế nào bạn có thể thiết kế một hệ thống giám sát (monitoring) để phát hiện sớm sự suy giảm hiệu suất của mô hình (performance degradation) ngay trong tuần đầu tiên mà không cần chờ đến khi có ground truth?","Khi không có Ground Truth ngay lập tức, ta không thể tính các metric như RMSE, MAE trực tiếp. Do đó, cần thiết kế hệ thống giám sát dựa trên các chỉ số thay thế (Proxy Metrics) và kiểm soát phân phối dữ liệu:

1. Giám sát Data Drift (Covariate Shift) trên các Input Features quan trọng:
- Sử dụng các kiểm định thống kê như Kolmogorov-Smirnov (KS) test, Population Stability Index (PSI) hoặc Wasserstein Distance để so sánh phân phối của các feature đầu vào trong cửa sổ 7 ngày gần nhất so với tập dữ liệu huấn luyện (baseline).
- Đặc biệt chú ý đến các biến có tính chu kỳ tuần/tháng để tránh cảnh báo giả.

2. Giám sát Prediction Drift (Target Distribution Drift):
- Theo dõi phân phối của các giá trị dự báo đầu ra (predictions) từ mô hình. Nếu phân phối của các dự báo trong tuần này lệch đáng kể so với phân phối dự báo lịch sử hoặc phân phối thực tế của các tháng trước (sử dụng PSI hoặc KL Divergence), đó là dấu hiệu cảnh báo cực lớn cho thấy hành vi của người dùng đã thay đổi (Concept Drift tiềm ẩn).

3. Sử dụng Anomaly Detection / Reconstruction Error làm Proxy:
- Huấn luyện một mô hình phụ không giám sát (như Isolation Forest hoặc Autoencoder) trên dữ liệu đầu vào. Nếu Reconstruction Error của các mẫu dữ liệu mới tăng đột biến trong tuần, điều đó có nghĩa là dữ liệu hiện tại đang chứa các pattern lạ mà mô hình chính chưa từng học, gián tiếp dự báo hiệu suất của mô hình dự báo dòng tiền sẽ bị giảm sút.","Đề xuất giải pháp kiểm soát Data Drift trên Input Features bằng các kiểm định thống kê phù hợp (PSI, KS-test, v.v.) dựa trên sliding window.","Đề xuất giải pháp giám sát Prediction Drift (phân phối đầu ra của mô hình) để phát hiện bất thường khi thiếu ground truth.","Đưa ra được phương pháp nâng cao như Anomaly Detection hoặc sử dụng Proxy Model để đánh giá độ tin cậy của dữ liệu mới nạp vào mô hình.","NOT_REVIEWED","PASS",""
